Fund,Fund Description,Fund ID,Department ID,Department,Short Title,Expense Line,Link to Website,Department Description,Control Officer,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Appropriations 2015,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,Expenditures 2013,Expenditures 2014
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,67,Mental Deficiency Fund,Mental Deficiency Fund,Cash Disbursements to Schools,,This special fund budget collects funding resulting from the county tax levy to be distributed to Macoupin Center for the Developmentally Disabled and the Illinois Valley Economic Development Corporation on a quarterly basis.,County Board Office,62250.00,68000.00,68000.00,73000.00,83000.00,83000.00,83000.00,88000.00,103000.00,52000.00,52000.00,52000.00,52000.00,52000.00,52000.00,52000.00,52000.00,52000.00,52000.00,0.00,0.00,37000.00,97000.00,0.00,67000.00,82000.00,87000.00,87014.00,87000.00,122000.00,34500.00,51999.00,52000.00,52000.00,52000.00,52000.00,52000.00,52000.00,52000.00,52000.00,0.00
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,67,Mental Deficiency Fund,Mental Deficiency Fund,Macoupin County Association of Retarded Children,,This special fund budget collects funding resulting from the county tax levy to be distributed to Macoupin Center for the Developmentally Disabled and the Illinois Valley Economic Development Corporation on a quarterly basis.,County Board Office,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,67,Mental Deficiency Fund,Mental Deficiency Fund,Illinois Valley Development Corporation,,This special fund budget collects funding resulting from the county tax levy to be distributed to Macoupin Center for the Developmentally Disabled and the Illinois Valley Economic Development Corporation on a quarterly basis.,County Board Office,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52000.00,52000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52000.00
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,69,Sheriff's Equipment Grant,Sheriff's Equipment Grant,Equipment,,This special fund housed a one time grant used by the Sheriff's office to buy equipment for deputies. Any current grants are now housed in the Grant Fund.,Sheriff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17030.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,70,Rural Water Grant,Rural Water Grant,Capital Outlay,,This special fund was used for a one time grant to improve rural water systems. The fund was abolished in 2007.,County Board Office,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,362200.00,37900.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,72,Solid Waste Management Fund,Solid Waste Management Fund,Miscellaneous,,This fund was set up as part of the state's requirement for a solid waste management plan and implementation of it. The fund was abolished in 2007.,County Board Office,0.00,0.00,1000.00,0.00,0.00,12100.00,0.00,0.00,0.00,0.00,0.00,915.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,915.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,73,Vital Records Automation,Vital Records Automation,Miscellaneous,,"This fund was established as a result of Resolution 2007.56 and is a fund under the control of the County Clerk for the development, maintenance, and improvement of technology in the County Clerk's office.",County Clerk,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1300.00,13000.00,3000.00,3000.00,3000.00,50000.00,10000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1290.00,4073.00,2165.00,2269.00,3000.00,50000.00
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,74,County Tax Sale Fund,County Tax Sale Fund,General Government,,,County Tax Expenses,1000.00,22000.00,22000.00,22000.00,50000.00,50000.00,0.00,50000.00,50000.00,0.00,0.00,0.00,40000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1759.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,75,States Attorney - DUI Task Force,States Attorney - DUI Task Force,Miscellaneous,,,State's Attorney,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,76,Delinquent Real Estate Taxes Liquidation Fund,Delinquent Real Estate Taxes Liquidation Fund,Miscellaneous,,This special fund is composed from a percentage of receipts from the County's delinquent tax program and funds are used to pay for publication and other related costs of the program.,County Tax Expenses,0.00,0.00,0.00,2000.00,2000.00,5000.00,2000.00,2000.00,2000.00,2000.00,144000.00,4000.00,4000.00,4000.00,20000.00,4000.00,4000.00,4000.00,5000.00,0.00,0.00,0.00,0.00,0.00,241.00,4433.00,1094.00,1226.00,1748.00,186617.00,3534.00,143634.00,2774.00,2028.00,2613.00,4411.00,1426.00,3570.00,2398.00,4870.47,0.00
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,77,Real Estate Stamp Fund,Real Estate Stamp Fund,Salaries,,"Anyone who buys property within county limits must purchase real estate transfer tax stamps. This purpose of this fund was to fund the County Clerk's purchase of those physical real estate transfer tax stamps throughout the course of the fiscal year. For every stamp that is purchased through this line item, the county is reimbursed. The fund was abolished in 2011 and all real estate stamp transactions are handled in the General Fund.",County Clerk,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95286.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10827.00,14321.00,0.00,0.00,0.00,0.00
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,77,Real Estate Stamp Fund,Real Estate Stamp Fund,Commodities,,"Anyone who buys property within county limits must purchase real estate transfer tax stamps. This purpose of this fund was to fund the County Clerk's purchase of those physical real estate transfer tax stamps throughout the course of the fiscal year. For every stamp that is purchased through this line item, the county is reimbursed. The fund was abolished in 2011 and all real estate stamp transactions are handled in the General Fund.",County Clerk,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,77,Real Estate Stamp Fund,Real Estate Stamp Fund,Supplies,,"Anyone who buys property within county limits must purchase real estate transfer tax stamps. This purpose of this fund was to fund the County Clerk's purchase of those physical real estate transfer tax stamps throughout the course of the fiscal year. For every stamp that is purchased through this line item, the county is reimbursed. The fund was abolished in 2011 and all real estate stamp transactions are handled in the General Fund.",County Clerk,150000.00,175000.00,175000.00,175000.00,175000.00,175000.00,175000.00,90000.00,96000.00,125000.00,121000.00,300000.00,215000.00,150000.00,13000.00,55000.00,60000.00,3.00,0.00,0.00,0.00,66951.00,75115.00,0.00,111864.00,175000.00,73079.00,208084.00,103057.00,93674.00,106752.00,120049.00,189109.00,177318.00,14863.00,9199.00,29010.00,59999.00,0.00,0.00,0.00
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,78,Sheriff's Drug Fund,Sheriff's Drug Fund,Miscellaneous,,"This fund is composed of restitution money from fines paid to the Circuit Clerk's Traffic and Criminal office by individuals arrested on drug charges. Also, forfeited funds are deposited per statute 720 ILCS 550/12 (g)(1).",Sheriff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3800.00,1000.00,1000.00,0.00,0.00,227.87,0.00,0.00,1340.00,492.00,1665.00,0.00,4063.00,289.00,1225.00,1525.00,0.00,700.00,700.00,0.00,0.00,0.00,0.00
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,79,Document Storage Fund,Document Storage Fund,Salaries,,This special fund collects fees paid to the Circuit Clerk's office through the Court process and are available for use to support the costs of improving and automating the Circuit Clerk's document storage operations with the future goal of going to a paperless system in such instances that are allowable under statute.,Circuit Clerk,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32959.00,300.00,300.00,300.00,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32959.00,0.00,0.00,0.00,0.00,0.00
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,79,Document Storage Fund,Document Storage Fund,Supplies,,This special fund collects fees paid to the Circuit Clerk's office through the Court process and are available for use to support the costs of improving and automating the Circuit Clerk's document storage operations with the future goal of going to a paperless system in such instances that are allowable under statute.,Circuit Clerk,31500.00,18921.00,5000.00,13250.00,5000.00,5000.00,5000.00,5000.00,5000.00,11500.00,5000.00,5000.00,5000.00,4531.00,2369.00,3400.00,1604.00,3400.00,12367.72,20000.00,20000.00,34595.00,4795.00,0.00,139.00,593.00,2864.00,787.00,1416.00,661.00,1229.00,4927.00,2897.00,2442.00,3072.00,832.00,3362.00,1604.00,2922.00,12367.72,5285.77
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,79,Document Storage Fund,Document Storage Fund,Travel,,This special fund collects fees paid to the Circuit Clerk's office through the Court process and are available for use to support the costs of improving and automating the Circuit Clerk's document storage operations with the future goal of going to a paperless system in such instances that are allowable under statute.,Circuit Clerk,0.00,0.00,1500.00,0.00,1500.00,1500.00,1500.00,1500.00,1500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,79,Document Storage Fund,Document Storage Fund,Equipment,,This special fund collects fees paid to the Circuit Clerk's office through the Court process and are available for use to support the costs of improving and automating the Circuit Clerk's document storage operations with the future goal of going to a paperless system in such instances that are allowable under statute.,Circuit Clerk,0.00,0.00,15000.00,13250.00,15000.00,15000.00,15000.00,15000.00,15000.00,15000.00,15000.00,15000.00,15000.00,13656.00,4681.00,1000.00,3142.00,1000.00,1280.00,1000.00,1000.00,0.00,0.00,0.00,180.00,0.00,0.00,26085.00,1060.00,2378.00,2064.00,12157.00,11433.00,1744.00,9656.00,4630.00,0.00,3142.00,0.00,1280.00,0.00
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,79,Document Storage Fund,Document Storage Fund,"Mileage, Dues, & Conventions",,This special fund collects fees paid to the Circuit Clerk's office through the Court process and are available for use to support the costs of improving and automating the Circuit Clerk's document storage operations with the future goal of going to a paperless system in such instances that are allowable under statute.,Circuit Clerk,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1500.00,1500.00,0.00,300.00,500.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,79,Document Storage Fund,Document Storage Fund,Education/Training,,This special fund collects fees paid to the Circuit Clerk's office through the Court process and are available for use to support the costs of improving and automating the Circuit Clerk's document storage operations with the future goal of going to a paperless system in such instances that are allowable under statute.,Circuit Clerk,0.00,7579.00,3500.00,0.00,3500.00,3500.00,3500.00,3500.00,3500.00,0.00,0.00,3500.00,3500.00,0.00,200.00,300.00,100.00,100.00,100.00,100.00,100.00,0.00,7579.00,0.00,0.00,0.00,477.00,364.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,79,Document Storage Fund,Document Storage Fund,System Updates/Programming,,This special fund collects fees paid to the Circuit Clerk's office through the Court process and are available for use to support the costs of improving and automating the Circuit Clerk's document storage operations with the future goal of going to a paperless system in such instances that are allowable under statute.,Circuit Clerk,0.00,0.00,1500.00,0.00,1500.00,1500.00,1500.00,1500.00,1500.00,0.00,0.00,1500.00,1500.00,0.00,1000.00,1000.00,550.00,896.00,895.95,1000.00,51000.00,0.00,0.00,0.00,0.00,0.00,1029.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,79,Document Storage Fund,Document Storage Fund,Miscellaneous,,This special fund collects fees paid to the Circuit Clerk's office through the Court process and are available for use to support the costs of improving and automating the Circuit Clerk's document storage operations with the future goal of going to a paperless system in such instances that are allowable under statute.,Circuit Clerk,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8313.00,4991.00,165000.00,90704.00,90704.00,31456.33,24300.00,24300.00,0.00,0.00,45784.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7191.00,4298.00,1062.00,171.00,0.00,750.00,7974.86
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,79,Document Storage Fund,Document Storage Fund,Transfer Out,,This special fund collects fees paid to the Circuit Clerk's office through the Court process and are available for use to support the costs of improving and automating the Circuit Clerk's document storage operations with the future goal of going to a paperless system in such instances that are allowable under statute.,Circuit Clerk,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50000.00,50000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50000.00,50000.00
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,80,Recorder's Microfilm Fund,Recorder's Microfilm Fund,Commodities,,This fund was established as a result of Public Act 83-1231 and the fee through county Resolution 1984.61. The Public Act allows for County Boards to authorize the charging of a fee for the use of electronic data processing to aid in the electronic conversion of document storage in the Recorder's Office.,County Clerk,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,80,Recorder's Microfilm Fund,Recorder's Microfilm Fund,Supplies,,This fund was established as a result of Public Act 83-1231 and the fee through county Resolution 1984.61. The Public Act allows for County Boards to authorize the charging of a fee for the use of electronic data processing to aid in the electronic conversion of document storage in the Recorder's Office.,County Clerk,75000.00,125000.00,125000.00,125000.00,125000.00,125000.00,125000.00,60000.00,55000.00,71479.00,60000.00,66000.00,15000.00,15000.00,18500.00,15000.00,20000.00,30000.00,30000.00,40000.00,40000.00,18887.00,24639.00,0.00,41207.00,77427.00,53033.00,116023.00,48703.00,53962.00,49243.00,59175.00,65876.00,14977.00,12245.00,18426.00,10077.00,16231.00,20405.00,30000.00,39997.14
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,80,Recorder's Microfilm Fund,Recorder's Microfilm Fund,Transfer Out,,This fund was established as a result of Public Act 83-1231 and the fee through county Resolution 1984.61. The Public Act allows for County Boards to authorize the charging of a fee for the use of electronic data processing to aid in the electronic conversion of document storage in the Recorder's Office.,County Clerk,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25000.00,0.00
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,81,Treasurer's Automation Fees Account,Treasurer's Automation Fees Account,Salaries,,"This fund, under the authority of the Treasurer, is used primarily for office automation and training costs.",County Treasurer,0.00,0.00,4000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10000.00,15000.00,28000.00,23200.00,6000.00,0.00,0.00,0.00,0.00,68751.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7572.00,15000.00,28000.00,10657.00,0.00,0.00
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,81,Treasurer's Automation Fees Account,Treasurer's Automation Fees Account,Miscellaneous,,"This fund, under the authority of the Treasurer, is used primarily for office automation and training costs.",County Treasurer,0.00,0.00,0.00,0.00,0.00,1000.00,2500.00,2500.00,6000.00,5000.00,6000.00,8100.00,20000.00,10000.00,0.00,0.00,0.00,0.00,24000.00,30000.00,25000.00,0.00,0.00,0.00,0.00,0.00,0.00,451.00,5351.00,1802.00,1346.00,5388.00,8065.00,17241.00,8267.00,0.00,0.00,0.00,0.00,9221.47,13295.15
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,82,Law Library Fund,Law Library Fund,Books & Supplies,,The Law Library is provided as a public service in the County Courthouse. The acquisition and operating costs are paid for with law library fee revenue.,Presiding Circuit Judge,17500.00,16000.00,50000.00,17000.00,25818.00,17000.00,20000.00,20000.00,20000.00,20000.00,20000.00,25000.00,27962.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,14390.00,14768.00,0.00,10115.00,21209.00,14988.00,16239.00,17466.00,19616.00,18165.00,19986.00,24987.00,27668.00,25266.00,29843.00,20738.00,19554.00,19726.00,22548.72,22200.24
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,83,Court Security Fund,Court Security Fund,Salaries & Fringe Reimbursement,,This fund receives fees ranging from 5 to 25 on civil and criminal cases (depending on the type the case) and is used for court-security related expenses. This fund will also help defray the cost of court security employees of the Sheriff's office by transferring funds to the General Fund before or at the end of the fiscal year to partially reimburse salary costs for such employees.,Sheriff,0.00,0.00,0.00,0.00,0.00,0.00,60000.00,100000.00,125000.00,0.00,125000.00,125000.00,125000.00,80000.00,80000.00,80000.00,195366.00,180000.00,18000.00,18000.00,83000.00,0.00,0.00,2738.00,0.00,0.00,2172.00,3315.00,2602.00,5446.00,13249.00,2688.00,3284.00,2177.00,220.00,8067.00,2542.00,2924.00,5231.00,14325.72,5016.16
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,83,Court Security Fund,Court Security Fund,Transfer Out,,This fund receives fees ranging from 5 to 25 on civil and criminal cases (depending on the type the case) and is used for court-security related expenses. This fund will also help defray the cost of court security employees of the Sheriff's office by transferring funds to the General Fund before or at the end of the fiscal year to partially reimburse salary costs for such employees.,Sheriff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65000.00,65000.00,0.00,0.00,0.00,2581.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65000.00,65000.00
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,84,Court Automation Fund,Court Automation Fund,Salaries,,This fund was established by Resolution 1991.01 in an effort to defray the cost of establishing and maintaining automated record keeping systems in the offices of the Circuit Court. County Boards were given the authority to require Clerks of the Court to collect a fee in certain cases to help defray these costs.,Circuit Clerk,0.00,0.00,8500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3420.00,3697.00,4876.00,7706.50,8228.50,8228.50,0.00,0.00,1686.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1660.00,0.00,3418.00,3697.00,4876.00,7706.50,8228.50
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,84,Court Automation Fund,Court Automation Fund,Office Supplies,,This fund was established by Resolution 1991.01 in an effort to defray the cost of establishing and maintaining automated record keeping systems in the offices of the Circuit Court. County Boards were given the authority to require Clerks of the Court to collect a fee in certain cases to help defray these costs.,Circuit Clerk,0.00,0.00,1204.00,0.00,0.00,1500.00,1000.00,1000.00,1000.00,2000.00,1000.00,1000.00,1000.00,1100.00,4668.00,4600.00,10970.00,3298.00,3355.62,8487.48,8487.48,0.00,0.00,4449.77,0.00,0.00,0.00,1706.00,1626.00,0.00,0.00,249.00,4.00,25.00,851.00,4668.00,4582.00,10970.00,3298.00,3355.62,8487.48
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,84,Court Automation Fund,Court Automation Fund,Miscellaneous,,This fund was established by Resolution 1991.01 in an effort to defray the cost of establishing and maintaining automated record keeping systems in the offices of the Circuit Court. County Boards were given the authority to require Clerks of the Court to collect a fee in certain cases to help defray these costs.,Circuit Clerk,0.00,0.00,5000.00,0.00,0.00,2000.00,1000.00,1000.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20908.02,20908.02,20908.02,0.00,0.00,25116.15,0.00,0.00,378.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15390.17,6399.30
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,84,Court Automation Fund,Court Automation Fund,System Updates & Programming,,This fund was established by Resolution 1991.01 in an effort to defray the cost of establishing and maintaining automated record keeping systems in the offices of the Circuit Court. County Boards were given the authority to require Clerks of the Court to collect a fee in certain cases to help defray these costs.,Circuit Clerk,0.00,0.00,3500.00,0.00,0.00,5000.00,5000.00,5000.00,5000.00,5000.00,5000.00,2680.00,5000.00,400.00,8776.00,1605.00,4039.00,32376.00,32375.74,26721.88,26721.88,0.00,0.00,0.00,0.00,0.00,0.00,6853.00,4109.00,1140.00,1450.00,2430.00,0.00,208.00,580.00,8776.00,1604.00,4039.00,32376.00,5935.61,3240.75
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,84,Court Automation Fund,Court Automation Fund,Equipment Repairs & Maintenance,,This fund was established by Resolution 1991.01 in an effort to defray the cost of establishing and maintaining automated record keeping systems in the offices of the Circuit Court. County Boards were given the authority to require Clerks of the Court to collect a fee in certain cases to help defray these costs.,Circuit Clerk,0.00,0.00,23796.00,0.00,0.00,11000.00,16000.00,16000.00,16000.00,16000.00,16000.00,19876.00,16000.00,18864.00,26000.00,18750.00,41822.00,15797.00,23541.56,23541.56,23541.56,0.00,0.00,0.00,0.00,0.00,23814.00,15224.00,13310.00,12391.00,12069.00,9431.00,19876.00,14205.00,19520.00,16046.00,18742.00,41822.00,15797.00,23541.56,14393.63
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,84,Court Automation Fund,Court Automation Fund,Payment on Computers,,This fund was established by Resolution 1991.01 in an effort to defray the cost of establishing and maintaining automated record keeping systems in the offices of the Circuit Court. County Boards were given the authority to require Clerks of the Court to collect a fee in certain cases to help defray these costs.,Circuit Clerk,0.00,0.00,0.00,0.00,0.00,15884.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10467.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,630.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3887.34,0.00
