Fund,Fund Description,Fund ID,Department ID,Department,Short Title,Expense Line,Link to Website,Department Description,Control Officer,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Appropriations 2015,Appropriations 2016,Appropriations 2017,Appropriations 2018,Appropriations 2019,Appropriations 2020,Appropriations 2021,Appropriations 2022,Appropriations 2023,Appropriations 2024,Appropriations 2025,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,Expenditures 2013,Expenditures 2014,Expenditures 2015,Expenditures 2016,Expenditures 2017,Expenditures 2018,Expenditures 2019,Expenditures 2020,Expenditures 2021,Expenditures 2022,Expenditures 2023,Expenditures 2024,Expenditures 2025
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,45,Emergency Telephone System,Emergency Telephone System,Clothing Allowance,,This fund is the main operating fund of the Emergency Telephone Systems Board / E 9-1-1 and provides for the operational expenses of the 9-1-1 office. Revenue to this fund is appropriated and adopted by the ETSB as a separate and functioning governmental body. The fund is held in the County treasury and receives revenue from surcharge dollars.,Emergency Telephone System Board,0,0,0,0,0,0,0,0,0,0,0,7000,7000,7000,4000,4000,3000,2800,0,2157,1000,1000,1000,1000,1000,1000,1000,1197,1000,1018,1000,0,0,0,0,0,0,0,0,772,2208,8736,844,820,2645,5430,2761,2745,0,0,2157,891,892,898,900,1000,1000,1000,1000,1000,985,840
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,45,Emergency Telephone System,Emergency Telephone System,Contingency,,This fund is the main operating fund of the Emergency Telephone Systems Board / E 9-1-1 and provides for the operational expenses of the 9-1-1 office. Revenue to this fund is appropriated and adopted by the ETSB as a separate and functioning governmental body. The fund is held in the County treasury and receives revenue from surcharge dollars.,Emergency Telephone System Board,0,0,0,0,0,105000,120000,200000,915000,915000,50000,8000,8000,8000,18650,8000,8000,8000,0,3109,8000,8000,8000,10000,10000,4347,10000,10000,10000,10000,10000,0,0,0,0,0,0,0,0,0,0,500,3910,0,600,2925,-54,0,1146,0,3109,8537.00,0,0,897,4347,2118,1756,0,0,0,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,49,Illinois Municipal Retirement Fund,Illinois Municipal Retirement Fund,Payment to Illinois Municipal Retirement Fund,,This special fund budget provides for the County's contributions to the Illinois Municipal Retirement Fund for all County employees.,Countywide Expense,325000,550000,355000,425000,700000,750000,865000,785000,850000,870000,962000,1013000,1220000,1070000,1070000,1080000,1080000,1285000,1560000,1560000,1560000,1560000,1650000,1790000,1790000,2100000,2081914,2327000,2300000,2300000,2300000,533363,525353,0,615806,741374,820747,861022,835082,833346,962368,1049640,1106245,1101078,1084523,1021679,1023116,1059604,1186222,1564049,1495952,1512006.00,1523686,1593371,1597374,2100000,624388,760637,609419,734716,479975,512770
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,50,Social Security Fund,Social Security Fund,Social Security,,This special fund relates to the County's required Social Security and Medicare Tax contributions for all County employees.,Countywide Expense,0,0,275000,0,0,320000,315000,325000,325000,335000,670000,425000,300000,360000,360000,360000,360000,396000,386000,386000,386000,386000,386000,386000,416000,435000,435000,43500,435000,460000,490000,0,0,0,0,0,306500,317854,342493,361281,379123,324488,327791,318689,317111,313942,310172,325279,370431,373350,365974,363407.00,362544,369596,383125,435000,394081,392169,416631,428998,458613,471894
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,51,Animal Control Claim Fund,Animal Control Claim Fund,Claims,,This fund was money set aside to handle any claims against animal for killing livestock. The funds were also used to help cover any budget shortfalls in other departments at the end of the fiscal year.,Animal Control Adminstrator,10000,20000,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,210,0,345,1051,309,240,210,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,52,Animal Control Working Fund,Animal Control Working Fund,Salaries & Benefits,,"This fund is the working operating fund for the Animal Control office. This fund provides for all operational expenses of Animal Control including items such as full-time and part-time salaries, employee insurance, office expenses, fuel, utilities, animal food, and veterinarian care.",Animal Control Adminstrator,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,23682,41000,48217,62174,63184,0,63859,65478,65177,110180,80376,86519,94343,115619,139029,140189,124337,0,0,0,0,0,0,0,0,0,0,0,0,0,24409,23682,40597,43653,62174,62148,0,63850.00,65478,65177,109628,86519,81207,94064,115619,126657,138974,119538
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,52,Animal Control Working Fund,Animal Control Working Fund,Commodities,,"This fund is the working operating fund for the Animal Control office. This fund provides for all operational expenses of Animal Control including items such as full-time and part-time salaries, employee insurance, office expenses, fuel, utilities, animal food, and veterinarian care.",Animal Control Adminstrator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8280,0,0,0,0,0,0,22741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8280,0,0,0,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,52,Animal Control Working Fund,Animal Control Working Fund,Miscellaneous,,"This fund is the working operating fund for the Animal Control office. This fund provides for all operational expenses of Animal Control including items such as full-time and part-time salaries, employee insurance, office expenses, fuel, utilities, animal food, and veterinarian care.",Animal Control Adminstrator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11526,9914,9207,3778,5254,6000,0,8900,6212,4289,2462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11526.00,9895,9207,2669,6000,1611,0,8748,2586,4212,2409
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,52,Animal Control Working Fund,Animal Control Working Fund,Expense of Operations,,"This fund is the working operating fund for the Animal Control office. This fund provides for all operational expenses of Animal Control including items such as full-time and part-time salaries, employee insurance, office expenses, fuel, utilities, animal food, and veterinarian care.",Animal Control Adminstrator,30000,25000,20000,25000,12000,12000,30000,20000,20000,20000,30000,35800,49000,50000,56318,44000,571783,44826,43819,0,0,0,0,0,0,0,8292,0,0,0,0,17491,21335,0,11089,17253,18173,21300,19259,18971,19051,29956,31601,34059,48712,47969,43867,548145,45085,42783,0,0,0,0,0,0,0,5520,0,0,0,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,52,Animal Control Working Fund,Animal Control Working Fund,Capital Outlay,,"This fund is the working operating fund for the Animal Control office. This fund provides for all operational expenses of Animal Control including items such as full-time and part-time salaries, employee insurance, office expenses, fuel, utilities, animal food, and veterinarian care.",Animal Control Adminstrator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1900,2000,0,0,0,0,0,0,0,3885,0,0,0,0,0,0,0,0,0,0,0,0,885,0,0,0,0,0,0,0,485,2000,1531,0,0,0,0,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,52,Animal Control Working Fund,Animal Control Working Fund,Office Expense,,"This fund is the working operating fund for the Animal Control office. This fund provides for all operational expenses of Animal Control including items such as full-time and part-time salaries, employee insurance, office expenses, fuel, utilities, animal food, and veterinarian care.",Animal Control Adminstrator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3629,1645,1404,2765,4721,5292,29984,6804,5958,6284,9722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3590.00,1644,1404,1856,5292,4554,29984,6435,5301,5629,9722
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,52,Animal Control Working Fund,Animal Control Working Fund,Utilities & Telephone,,"This fund is the working operating fund for the Animal Control office. This fund provides for all operational expenses of Animal Control including items such as full-time and part-time salaries, employee insurance, office expenses, fuel, utilities, animal food, and veterinarian care.",Animal Control Adminstrator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9432,8797,11942,12775,11585,13227,6107,16524,20366,13944,16654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9432.00,8797,11942,12774,13227,10359,5809,16324,15316,12865,16654
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,52,Animal Control Working Fund,Animal Control Working Fund,"Mileage, Dues, & Conventions",,"This fund is the working operating fund for the Animal Control office. This fund provides for all operational expenses of Animal Control including items such as full-time and part-time salaries, employee insurance, office expenses, fuel, utilities, animal food, and veterinarian care.",Animal Control Adminstrator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,100,100,307,200,200,13683,200,302,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,100,100,307,0,0,11940,100,302,150,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,52,Animal Control Working Fund,Animal Control Working Fund,Education/Training,,"This fund is the working operating fund for the Animal Control office. This fund provides for all operational expenses of Animal Control including items such as full-time and part-time salaries, employee insurance, office expenses, fuel, utilities, animal food, and veterinarian care.",Animal Control Adminstrator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,75,100,2,250,315,250,600,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,250,0,100,0,0,0,75
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,52,Animal Control Working Fund,Animal Control Working Fund,Repairs and maintenance,,"This fund is the working operating fund for the Animal Control office. This fund provides for all operational expenses of Animal Control including items such as full-time and part-time salaries, employee insurance, office expenses, fuel, utilities, animal food, and veterinarian care.",Animal Control Adminstrator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8984,10293,6916,9677,8795,10487,5060,11619,13462,10827,10273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8984.00,10293,6916,7679,10487,6601,5863,9616,9544,10211,9106
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,52,Animal Control Working Fund,Animal Control Working Fund,Insurance Premium/Bonds,,"This fund is the working operating fund for the Animal Control office. This fund provides for all operational expenses of Animal Control including items such as full-time and part-time salaries, employee insurance, office expenses, fuel, utilities, animal food, and veterinarian care.",Animal Control Adminstrator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1931,2052,2171,2121,2216,2410,2625,2864,2953,3740,3801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1931.00,2052,2171,2121,2410,2410,2625,2864,2953,3739,3801
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,52,Animal Control Working Fund,Animal Control Working Fund,Care of Animals,,"This fund is the working operating fund for the Animal Control office. This fund provides for all operational expenses of Animal Control including items such as full-time and part-time salaries, employee insurance, office expenses, fuel, utilities, animal food, and veterinarian care.",Animal Control Adminstrator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10061,23451,24458,25828,12853,16480,18110,38124,43593,56485,41599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10061.00,23451,24458,14292,16480,8059,17110,38124,28155,55284,41599
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,52,Animal Control Working Fund,Animal Control Working Fund,Postage,,"This fund is the working operating fund for the Animal Control office. This fund provides for all operational expenses of Animal Control including items such as full-time and part-time salaries, employee insurance, office expenses, fuel, utilities, animal food, and veterinarian care.",Animal Control Adminstrator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,52,Animal Control Working Fund,Animal Control Working Fund,Food (Animal),,"This fund is the working operating fund for the Animal Control office. This fund provides for all operational expenses of Animal Control including items such as full-time and part-time salaries, employee insurance, office expenses, fuel, utilities, animal food, and veterinarian care.",Animal Control Adminstrator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,52,Animal Control Working Fund,Animal Control Working Fund,System Updates/Programming,,"This fund is the working operating fund for the Animal Control office. This fund provides for all operational expenses of Animal Control including items such as full-time and part-time salaries, employee insurance, office expenses, fuel, utilities, animal food, and veterinarian care.",Animal Control Adminstrator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,52,Animal Control Working Fund,Animal Control Working Fund,Equipment Repair & Maintenance,,"This fund is the working operating fund for the Animal Control office. This fund provides for all operational expenses of Animal Control including items such as full-time and part-time salaries, employee insurance, office expenses, fuel, utilities, animal food, and veterinarian care.",Animal Control Adminstrator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,53,Sheriff's LS21 Fund,Sheriff's LS21 Fund,Equipment,,,Sheriff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71487,5901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,54,County Farm Fund,County Farm Fund,Miscellaneous,,"This special fund is composed of revenues received from leases on county-owned farm property. Currently, two agricultural properties are county-owned and receive annual revenue through lease agreements.",County Board Office,1000,10000,8500,10000,10000,10000,10000,5000,5000,0,0,0,0,3000,3000,13000,3000,3000,0,20000,0,20000,15083,20000,20000,20000,20000,20000,20000,20000,21710,0,0,8348,0,459,0,380,4200,3350,2500,0,0,0,2284,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,21710
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,54,County Farm Fund,County Farm Fund,Transfer Out,,"This special fund is composed of revenues received from leases on county-owned farm property. Currently, two agricultural properties are county-owned and receive annual revenue through lease agreements.",County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,0,25000.00,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,55,Revolving Loan Fund,Revolving Loan Fund,Miscellaneous,,This fund is a revolving loan fund originally established in 1989 through a CDAP grant from state DCEO. Revolving loans are granted from this Fund pursuant to state administrative code and congruent with county-adopted and state-approved guidelines.,County Board Office,0,0,0,0,50000,50000,50000,50000,45000,0,20000,20000,20000,0,0,0,20000,20000,60000,0,0,30000,30000,30000,60000,30000,30000,30000,30000,30000,30000,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,5598,60000,0,0,0,0,0,30000,28700,17000,0,0,0,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,55,Revolving Loan Fund,Revolving Loan Fund,Miscellaneous,,This fund is a revolving loan fund originally established in 1989 through a CDAP grant from state DCEO. Revolving loans are granted from this Fund pursuant to state administrative code and congruent with county-adopted and state-approved guidelines.,County Board Office,10000,50000,15000,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,55,Revolving Loan Fund,Revolving Loan Fund,Miscellaneous,,This fund is a revolving loan fund originally established in 1989 through a CDAP grant from state DCEO. Revolving loans are granted from this Fund pursuant to state administrative code and congruent with county-adopted and state-approved guidelines.,County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,20000,20000,0,0,0,30000,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,56,Revolving Loan Fund II,Revolving Loan Fund II,Miscellaneous,,"Created with County funds, this revolving loan fund did not have the same requirements as the Revolving Loan Fund started with the CDAP grant, making it easier for the County to grant loans to small business",County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230000,0,0,10000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,94,0,0,0,0,0,0,0,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,57,Old Jail Restoration Fund,Old Jail Restoration Fund,Health & Welfare,,This special fund was used to hold funds to try and restore the old county jail.,County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,58,State's Attorney - Bad Check Division,State's Attorney - Bad Check Division,Judiciary,,"Pursuant to 720 ILCS 5/17-1b, a State's Attorney may create within his or her office a bad check diversion program for offenders who agree to voluntarily participate in the program instead of in lieu of the criminal justice system. Funds support the effort of the program.",State's Attorney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,20000,20000,20000,20000,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7584,17615,0,0,8887.00,10890,11829,8435,20000,3950,2362,13719,13772,3864,3432
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,59,Tort Liability Fund,Tort Liability Fund,Insurance Premium/Bonds,,"This special fund receives funding through the county's tax levy and is the county's major fund to pay for tort expenses, including but not limited to the payment of insurance premiums on county buildings, workmen's compensation, and general liability.",Countywide Expense,150000,265000,290000,350000,300000,450000,400000,330000,250000,325000,350000,350000,417000,420000,440000,413500,413500,432000,420660,592230,625000,700000,700000,700000,700000,724062,725001,800000,819999,950000,1063000,151950,201848,0,161544,203325,252998,489108,328030,252229,357440,341340,350000,417000,420000,423830,344874,375523,407402,420558,591662,605844.00,691490,485274,483118,725000,465697,473624,503176,713649,742992,831137
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,59,Tort Liability Fund,Tort Liability Fund,Miscellaneous,,"This special fund receives funding through the county's tax levy and is the county's major fund to pay for tort expenses, including but not limited to the payment of insurance premiums on county buildings, workmen's compensation, and general liability.",Countywide Expense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,15340,9770,0,0,0,0,0,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15340,9770,0,0,0,0,0,938,0,0,0,0,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,59,Tort Liability Fund,Tort Liability Fund,Animal Control - Miscellaneous,,"This special fund receives funding through the county's tax levy and is the county's major fund to pay for tort expenses, including but not limited to the payment of insurance premiums on county buildings, workmen's compensation, and general liability.",Countywide Expense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6500,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6389,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,66,GIS Fund,GIS Fund,Salaries & Benefits,,This special fund is supported by recording fees charged on documents recorded by the County Recorder. The funds are used to support the development and maintenance of the County's Geographic Information System and other GIS-related expenditures. Funds are also used to pay a portion of employee salaries and benefits in the County Assessor's Office.,Supervisor of Assessments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40364,34526,93739,88560,88846,108486,127168,159984,118941,122207,167670,172269,171893,140442,155540,144654,160342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20724,33934,57930,67862,79824,108486,102710,87652,95284,89785,172269,146394,127970,133741,133051,139821,85364
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,66,GIS Fund,GIS Fund,Capital Outlay,,This special fund is supported by recording fees charged on documents recorded by the County Recorder. The funds are used to support the development and maintenance of the County's Geographic Information System and other GIS-related expenditures. Funds are also used to pay a portion of employee salaries and benefits in the County Assessor's Office.,Supervisor of Assessments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000,14000,14000,14000,14000,35282,8000,10801,25000,9164,0,0,0,0,0,0,37000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6276,5900,12711,12699.00,1952,35282,7085,25000,8838,0,0,0,0,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,66,GIS Fund,GIS Fund,Miscellaneous,,This special fund is supported by recording fees charged on documents recorded by the County Recorder. The funds are used to support the development and maintenance of the County's Geographic Information System and other GIS-related expenditures. Funds are also used to pay a portion of employee salaries and benefits in the County Assessor's Office.,Supervisor of Assessments,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,134636,131843,127268,141000,125562,107563,325093,192638,169683,89300,16405,16298,18600,18000,13000,14360,11500,0,0,0,0,0,0,0,0,0,0,0,0,0,74136,91122,119399,62095,84445,98300,79358,248016.00,116718,52725,14508,16298,4611,8240,5427,1398,1919,340
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,66,GIS Fund,GIS Fund,Transfer Out,,This special fund is supported by recording fees charged on documents recorded by the County Recorder. The funds are used to support the development and maintenance of the County's Geographic Information System and other GIS-related expenditures. Funds are also used to pay a portion of employee salaries and benefits in the County Assessor's Office.,Supervisor of Assessments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,66,GIS Fund,GIS Fund,System Updates/Programming,,This special fund is supported by recording fees charged on documents recorded by the County Recorder. The funds are used to support the development and maintenance of the County's Geographic Information System and other GIS-related expenditures. Funds are also used to pay a portion of employee salaries and benefits in the County Assessor's Office.,Supervisor of Assessments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,60000,0,0,0,0,0,0,18419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118676.00,58316,9000,0,0,0,0,0,0,18419,0
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,66,GIS Fund,GIS Fund,Scanning Documents,,This special fund is supported by recording fees charged on documents recorded by the County Recorder. The funds are used to support the development and maintenance of the County's Geographic Information System and other GIS-related expenditures. Funds are also used to pay a portion of employee salaries and benefits in the County Assessor's Office.,Supervisor of Assessments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139113,0,170782,186891,143000,81240,81240,81240,74425,33000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74090.00,139113,0,88194,143000,26821,2430,70446,3537,3060,6800
Special Purpose Fund,Special Purposes Funds are funds that house monies collected by fees by the various departments and offices of the County that by state statute can only be spent on certain expenses.,2,66,GIS Fund,GIS Fund,Equipment Repair & Maintenance,,This special fund is supported by recording fees charged on documents recorded by the County Recorder. The funds are used to support the development and maintenance of the County's Geographic Information System and other GIS-related expenditures. Funds are also used to pay a portion of employee salaries and benefits in the County Assessor's Office.,Supervisor of Assessments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7315,39921,0,38408,0,0,12000,10000,10000,5359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13974.00,7315,35166,0,35800,0,0,0,51430,0,0
